8218 Dennis Ritchie   United States
15408 Isoroku Yamamoto   Japan
15414 Irenaeus   Turkey
15435 Ignatius of Antioch   Syria
15506 Isidore of Seville   SPAIN
15511 Isaac Bashevis Singer   POLAND
15571 John Woo   China
15587 Joshua Jackson   CANADA
15596 John Ray   UNITED KINGDOM
15600 James Joyce   Ireland
15614 Jonathan Swift   IRELAND
15622 James Cameron   CANADA
15626 John Stuart Mill   United Kingdom
15630 James Cook   UNITED KINGDOM
15641 Joseph Stalin   Georgia
16115 James Spader   UNITED STATES
15736 Johannes Kepler   Germany
15737 John Bardeen   UNITED STATES
15744 Jim Jarmusch   United States
15745 Johannes Gutenberg   Germany
15766 James Brown   UNITED STATES
15770 Jules Verne   FRANCE
15771 Johannes Rau   GERMANY
15777 Joseph Goebbels   GERMANY
15781 Jorge Luis Borges   ARGENTINA
15782 Jane Austen   UNITED KINGDOM
16324 John Hancock   United States
15823 Joseph Conrad   Ukraine
15824 John Updike   United States
9506 Edward Jenner   UNITED KINGDOM
15826 Joshua Reynolds   UNITED KINGDOM
15827 Joseph Schumpeter   CZECH REPUBLIC
15830 John Lee Hooker   UNITED STATES
15837 Jean Cocteau   France
15838 John Donne   UNITED KINGDOM
15852 John Lennon   UNITED KINGDOM
15858 John Cleese   UNITED KINGDOM
15872 J. R. R. Tolkien   SOUTH AFRICA
24033 Percival Lowell   UNITED STATES
15898 John Major   UNITED KINGDOM
15912 John A. Macdonald   United Kingdom
15915 John Diefenbaker   Canada
225255 Frank Abagnale   United States
15919 John Wilkes Booth   United States
15923 Dan Quayle   UNITED STATES
15924 Julius Caesar   Italy
15927 J. G. Ballard   China
15930 John Calvin   FRANCE
15937 Judit Polgár   Hungary
15941 Jean-Jacques Rousseau   SWITZERLAND
15942 John von Neumann   Hungary
15950 James Madison   UNITED STATES
15965 James Hutton   UNITED KINGDOM
15967 Jerry Lewis   UNITED STATES
15978 James Monroe   UNITED STATES
15980 James K. Polk   United States
15992 Jimmy Carter   United States
15993 John Napier   UNITED KINGDOM
16005 Jerome   CROATIA
16021 John Irving   United States
16024 Justus von Liebig   GERMANY
16027 J. K. Rowling   UNITED KINGDOM
16028 Jan Hus   CZECH REPUBLIC
16044 J. Edgar Hoover   United States
13969 Herman Hollerith   UNITED STATES
16061 Johann Bayer   Germany
159269 David Boreanaz   UNITED STATES
16073 Juan Gris   SPAIN
16094 Joseph Haydn   AUSTRIA
16095 Jimi Hendrix   UNITED STATES
16097 Johann Elert Bode   Germany
16103 John Wayne   UNITED STATES
26202 Ralph Waldo Emerson   UNITED STATES
16119 Jehoshaphat   Israel
16121 Joshua   Egypt
16123 Jeroboam   Israel
16125 John the Baptist   Israel
16134 Jefferson Davis   UNITED STATES
16142 James Watt   UNITED KINGDOM
16143 John Locke   UNITED KINGDOM
16153 Jacques Lacan   FRANCE
16164 John James Richard Macleod   UNITED KINGDOM
1928850 John Roberts   UNITED STATES
16187 John Dewey   United States
16193 Jackie Robinson   United States
16209 Justinian I   Republic of Macedonia
16215 John Milton   United Kingdom
16218 Jeffrey Dahmer   United States
16224 Jonah   Israel
16228 Jim Henson   UNITED STATES
16239 Jordanes   Unknown
16243 Jawaharlal Nehru   India
16245 Janis Joplin   United States
16252 Jacques-Yves Cousteau   FRANCE
16273 James Stewart   United States
9657 Edgar Rice Burroughs   UNITED STATES
16278 James Randi   Canada
16288 Jürgen Habermas   GERMANY
